,Logistic Regression,,,,,,Decision Tree,,,,,,Random Forest,,,,,,Naïve Bayes(Gaussian),,,,,,Support Vector Machine,,,,,,K Nearest Neighbors,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Split:,0.5,0.6,0.7,0.8,0.9,,0.5,0.6,0.7,0.8,0.9,,0.5,0.6,0.7,0.8,0.9,,0.5,0.6,0.7,0.8,0.9,,0.5,0.6,0.7,0.8,0.9,,0.5,0.6,0.7,0.8,0.9
,0.860566449,0.894021739,0.855072464,0.902173913,0.793478261,,0.793028322,0.752717391,0.77173913,0.809782609,0.782608696,,0.864923747,0.855978261,0.880434783,0.836956522,0.793478261,,0.836601307,0.885869565,0.836956522,0.858695652,0.869565217,,0.845315904,0.836956522,0.81884058,0.815217391,0.815217391,,0.864923747,0.831521739,0.847826087,0.891304348,0.858695652
,0.860566449,0.861413043,0.858695652,0.831521739,0.804347826,,0.773420479,0.769021739,0.786231884,0.798913043,0.782608696,,0.864923747,0.866847826,0.851449275,0.880434783,0.880434783,,0.871459695,0.861413043,0.84057971,0.826086957,0.869565217,,0.786492375,0.831521739,0.789855072,0.820652174,0.826086957,,0.85620915,0.823369565,0.844202899,0.820652174,0.836956522
,0.840958606,0.85326087,0.884057971,0.864130435,0.869565217,,0.79956427,0.788043478,0.778985507,0.755434783,0.782608696,,0.864923747,0.866847826,0.851449275,0.869565217,0.847826087,,0.854030501,0.869565217,0.851449275,0.869565217,0.858695652,,0.830065359,0.815217391,0.822463768,0.85326087,0.880434783,,0.854030501,0.850543478,0.880434783,0.815217391,0.880434783
,0.871459695,0.864130435,0.898550725,0.847826087,0.913043478,,0.806100218,0.747282609,0.789855072,0.793478261,0.804347826,,0.880174292,0.875,0.880434783,0.858695652,0.934782609,,0.860566449,0.85326087,0.862318841,0.836956522,0.891304348,,0.806100218,0.842391304,0.836956522,0.815217391,0.858695652,,0.875816993,0.864130435,0.862318841,0.864130435,0.826086957
,0.871459695,0.855978261,0.84057971,0.869565217,0.847826087,,0.773420479,0.804347826,0.757246377,0.766304348,0.739130435,,0.85620915,0.888586957,0.858695652,0.842391304,0.923913043,,0.860566449,0.858695652,0.865942029,0.864130435,0.836956522,,0.838779956,0.807065217,0.800724638,0.842391304,0.836956522,,0.85620915,0.855978261,0.865942029,0.798913043,0.869565217
,0.869281046,0.869565217,0.865942029,0.858695652,0.858695652,,0.784313725,0.79076087,0.746376812,0.744565217,0.826086957,,0.862745098,0.850543478,0.855072464,0.869565217,0.869565217,,0.867102397,0.850543478,0.902173913,0.815217391,0.847826087,,0.823529412,0.83423913,0.800724638,0.820652174,0.836956522,,0.864923747,0.839673913,0.844202899,0.869565217,0.858695652
,0.873638344,0.858695652,0.855072464,0.869565217,0.880434783,,0.749455338,0.785326087,0.764492754,0.815217391,0.706521739,,0.854030501,0.858695652,0.855072464,0.891304348,0.804347826,,0.851851852,0.861413043,0.876811594,0.875,0.869565217,,0.838779956,0.864130435,0.811594203,0.858695652,0.826086957,,0.849673203,0.861413043,0.858695652,0.880434783,0.869565217
,0.85620915,0.888586957,0.876811594,0.847826087,0.880434783,,0.784313725,0.782608696,0.757246377,0.733695652,0.836956522,,0.877995643,0.845108696,0.884057971,0.913043478,0.858695652,,0.860566449,0.845108696,0.858695652,0.847826087,0.913043478,,0.82788671,0.831521739,0.822463768,0.798913043,0.815217391,,0.830065359,0.826086957,0.869565217,0.815217391,0.847826087
